Platform,Function,Analyzer,Part No.,Description,Information,ListPrice,Discount,Quantity,Unit Price,Total Price
LaserGas III Single Path,Isolation flanges,"106867 Isolation Flange, DN50/PN16 760 (PED) (w/purge)",106867,"Isolation Flange, DN50/PN16 760 (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Isolation flanges,"106868 Isolation Flange, ANSI 2""/150, AR760nm (PED) (w/purge)",106868,"Isolation Flange, ANSI 2""/150, AR760nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Isolation flanges,"106902 Isolation Flange, ANSI 2""/300, AR760nm (PED) (w/purge)",106902,"Isolation Flange, ANSI 2""/300, AR760nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Isolation flanges,"106905 Isolation Flange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",106905,"Isolation Flange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Isolation flanges,"106907 Isolation Flange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",106907,"Isolation Flange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Isolation flanges,"106909 Isolation Flange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",106909,"Isolation Flange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Isolation flanges,"106911 Isolation Flange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",106911,"Isolation Flange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Isolation flanges,"106913 Isolation Flange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",106913,"Isolation Flange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Isolation flanges,"106915 Isolation Flange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",106915,"Isolation Flange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",Price per flange,43470,0,1,43470,43470
LaserGas III Single Path,Windows units LG3,106960 Window Unit LG3 L 60 760 (FS),106960,Window Unit LG3 L 60 760 (FS),incl Dairy clamp EPDM Gasket Swagelok 8mm,11110,0,1,11110,11110
LaserGas III Single Path,Windows units LG3,106965 Window Unit LG3 L 100 760 (FS),106965,Window Unit LG3 L 100 760 (FS),incl Dairy clamp EPDM Gasket Swagelok 8mm,12430,0,1,12430,12430
LaserGas III Single Path,Windows units LG3,106970 Window Unit LG3 L 60 760 (Sapphire),106970,Window Unit LG3 L 60 760 (Sapphire),incl Dairy clamp EPDM Gasket Swagelok 8mm,13750,0,1,13750,13750
LaserGas III Single Path,Windows units LG3,106975 Window Unit LG3 L 100 760 (Sapphire),106975,Window Unit LG3 L 100 760 (Sapphire),incl Dairy clamp EPDM Gasket Swagelok 8mm,15180,0,1,15180,15180
LaserGas III Single Path,Windows units LG3,106980 Window Unit LG3 L 60 1500‐1650 (FS),106980,Window Unit LG3 L 60 1500‐1650 (FS),incl Dairy clampEPDM Gasket Swagelok 8mm,11110,0,1,11110,11110
LaserGas III Single Path,Windows units LG3,106981 Window Unit LG3 L 100 1500‐1650 (FS),106981,Window Unit LG3 L 100 1500‐1650 (FS),incl Dairy clamp EPDM Gasket Swagelok 8mm,12430,0,1,12430,12430
LaserGas III Single Path,Windows units LG3,106982 Window Unit LG3 L 60 1500‐1650 (Sapphire),106982,Window Unit LG3 L 60 1500‐1650 (Sapphire),incl Dairy clamp EPDM Gasket Swagelok 8mm,13750,0,1,13750,13750
LaserGas III Single Path,Windows units LG3,106983 Window Unit LG3 L 100 1500‐1650 (Sapphire),106983,Window Unit LG3 L 100 1500‐1650 (Sapphire),incl Dairy clamp EPDM Gasket Swagelok 8mm,15180,0,1,15180,15180
LaserGas III Single Path,Windows units LG3,113549 Window Unit LG3 L 2000-2330 (FS),113549,Window Unit LG3 L 2000-2330 (FS),incl Dairy clamp EPDM Gasket Swagelok 8mm,12995,0,1,12995,12995
LaserGas III Single Path,Windows units LG3,110254 Window Unit LG3 L 60 2200‐2400 (Sapphire),110254,Window Unit LG3 L 60 2200‐2400 (Sapphire),incl Dairy clamp EPDM Gasket Swagelok 8mm,13750,0,1,13750,13750
LaserGas III Single Path,Windows units LG3,110255 Window Unit LG3 L 100 2200‐2400 (Sapphire),110255,Window Unit LG3 L 100 2200‐2400 (Sapphire),incl Dairy clamp EPDM Gasket Swagelok 8mm,15180,0,1,15180,15180
LaserGas III Single Path,Spare part kit,"103418 Spare part kit LG3/LGQ SP DN50/ANSI 2""",103418,"Spare part kit LG3/LGQ SP DN50/ANSI 2""","Viton flange O‐rings, and clamp gaskets (EPDM)",4485,0,1,4485,4485
LaserGas III Single Path,Spare part kit,112290 commissioning spare part kit LG3/Q,112290,commissioning spare part kit LG3/Q,standard package,4140,0,1,4140,4140
LaserGas III Open Path,Alignment laser pointer,"108603 Laser Pointer kit for LGIII OP, Mk2",108603,"Laser Pointer kit for LGIII OP, Mk2",For old version contact NEO Monitors,690,0,1,690,690
LaserGas III Portable,,113130 Inlet filter for Portable HF analyzer,113130,Inlet filter for Portable HF analyzer,,920,0,1,920,920
LaserGas III Portable,,"105063 LG3 HF portable battery 14,4V 5.2Ah Lit",105063,"LG3 HF portable battery 14,4V 5.2Ah Lit",,4370,0,1,4370,4370
LaserGas iQ2,Calibration cells,108863 Calibration cell Kit LG iQ2 without Cube corners,108863,Calibration cell Kit LG iQ2 without Cube corners,Cube corner not included,24035,0,1,24035,24035
LaserGas iQ2,Calibration cells,108684 Calibration cell Kit LG iQ2 inc. Cube corner,108684,Calibration cell Kit LG iQ2 inc. Cube corner,Cube corner included,38686,0,1,38686,38686
LaserGas iQ2,Alignment kits,108225 Alignment tool kit LaserGas iQ2,108225,Alignment tool kit LaserGas iQ2,,6785,0,1,6785,6785
LaserGas iQ2,Alignment kits,"109677 Vulcan High Temp Probe, Cube Corner Module",109677,"Vulcan High Temp Probe, Cube Corner Module",Price TBA,0,0,1,0,0
LaserGas iQ2,Alignment kits,"108016 Window Assembly iQ2, Large aperture",108016,"Window Assembly iQ2, Large aperture",,16100,0,1,16100,16100
LaserGas iQ2,Alignment kits,108020 Retroreflector Assembly unit iQ2 X-stack,108020,Retroreflector Assembly unit iQ2 X-stack,For cross stack version,57040,0,1,57040,57040
LaserGas iQ2,"""O"" Ring Kit","108810 ""O"" ring kit iQ2 MK1",108810,"""O"" ring kit iQ2 MK1","2x (85 x 2) NBR70, 2 x (84 x 2.5) NBR70",288,0,1,288,288
LaserGas Q,Calibration cells,102782 Calibration cell LG III/Q l=712 mm (AISI316L),102782,Calibration cell LG III/Q l=712 mm (AISI316L),Dairy clamps kit must be ordered seperately. Swagelok 8mm OD fittings,11615,0,1,11615,11615
LaserGas Q,Alignment kits,106897 Alignment tool kit LaserGas II/ III/ Q SP,106897,Alignment tool kit LaserGas II/ III/ Q SP,Complete with target,4830,0,1,4830,4830
LaserGas Q,LG Q Span cell (External),"111629 Span Check Cell LGQ L60, CaF2, NO",111629,"Span Check Cell LGQ L60, CaF2, NO",Process dependent. Contact NEO Monitors,16215,0,1,16215,16215
LaserGas Q,LG Q Span cell (External),"111033 Span Check Cell LGQ L60, Sapphire, SO2",111033,"Span Check Cell LGQ L60, Sapphire, SO2",Process dependent. Contact NEO Monitors,16215,0,1,16215,16215
LaserGas Q,LG Q Span cell (External),"111034 Span Check Cell LGQ L60, Sapphire, NO2",111034,"Span Check Cell LGQ L60, Sapphire, NO2",Process dependent. Contact NEO Monitors,16215,0,1,16215,16215
LaserGas Q,Measurement cell,"108558 Measurement cell L 700mm w/ Saphire windows & Spool, LG3/LGQ",108558,"Measurement cell L 700mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished, including spool piece",42090,0,1,42090,42090
LaserGas Q,Measurement cell,"108556 Measurement cell L 500mm w/ Saphire windows & Spool, LG3/LGQ",108556,"Measurement cell L 500mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished, including spool piece",42090,0,1,42090,42090
LaserGas Q,Measurement cell,"108557 Measurement cell L 200mm w/ Saphire windows & Spool, LG3/LGQ",108557,"Measurement cell L 200mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished, including spool piece",42090,0,1,42090,42090
LaserGas Q,Insertion tubes,102360 Insertion tube kit Ø 68/65 mm L 1500 mm,102360,Insertion tube kit Ø 68/65 mm L 1500 mm,"Pair, Length : 1.5m, Flanges >DN80/ANSI",9775,0,1,9775,9775
LaserGas Q,Insertion tubes,106524 Insertion tube kit Ø 44.5 mm L 1000 mm,106524,Insertion tube kit Ø 44.5 mm L 1000 mm,"Pair, Length: 1.0m",8395,0,1,8395,8395
LaserGas Q,Dairy clamp,106699 Dairy Clamp Kit LG3 (Gasket SMS 63.5 EPDM),106699,Dairy Clamp Kit LG3 (Gasket SMS 63.5 EPDM),,1380,0,1,1380,1380
LaserGas Q,Networks cables,101226 Network Cable 5m Straight RJ45‐Variosub,101226,Network Cable 5m Straight RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas Q,Networks cables,101221 Network Cable 15m Straight RJ45‐Variosub,101221,Network Cable 15m Straight RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas Q,Networks cables,101222 Network Cable 25m Straight RJ45‐Variosub,101222,Network Cable 25m Straight RJ45‐Variosub,,1495,0,1,1495,1495
LaserGas Q,Networks cables,101225 Network Cable 50m Straight RJ45‐Variosub,101225,Network Cable 50m Straight RJ45‐Variosub,,2645,0,1,2645,2645
LaserGas Q,Networks cables,107258 Network Cable 100m Straight RJ45‐Variosub,107258,Network Cable 100m Straight RJ45‐Variosub,,3795,0,1,3795,3795
LaserGas Q,Networks cables,106185 Network Cable 5m Crossed RJ45‐Variosub,106185,Network Cable 5m Crossed RJ45‐Variosub,,1035,0,1,1035,1035
LaserGas Q,Networks cables,101229 Network Cable 15m Crossed RJ45‐Variosub,101229,Network Cable 15m Crossed RJ45‐Variosub,,1265,0,1,1265,1265
LaserGas Q,Networks cables,101231 Network Cable 25m Crossed RJ45‐Variosub,101231,Network Cable 25m Crossed RJ45‐Variosub,,1610,0,1,1610,1610
LaserGas Q,Networks cables,101234 Network Cable 50m Crossed RJ45‐Variosub,101234,Network Cable 50m Crossed RJ45‐Variosub,,2875,0,1,2875,2875
LaserGas Q,Networks cables,106183 Network Cable 100m Crossed RJ45‐Variosub,106183,Network Cable 100m Crossed RJ45‐Variosub,,3910,0,1,3910,3910
LaserGas Q,Spare part kit,"103418 Spare part kit LG3/LGQ SP DN50/ANSI 2""",103418,"Spare part kit LG3/LGQ SP DN50/ANSI 2""","Viton flange O‐rings, and clamp gaskets (EPDM)",4485,0,1,4485,4485
LaserGas Q,Spare part kit,112290 Commissioning spare parts kit LG III/Q,112290,Commissioning spare parts kit LG III/Q,Standard package,4140,0,1,4140,4140
LaserDust,Alignment kits,100154 Alignment tool kit LaserDust MP,100154,Alignment tool kit LaserDust MP,,3450,0,1,3450,3450
LaserDust,Alignment kits,100145 Alignment tool kit LaserDust LP,100145,Alignment tool kit LaserDust LP,,3450,0,1,3450,3450
LaserDust,Alignment kits,102607 Alignment tool kit LaserDust XLP,102607,Alignment tool kit LaserDust XLP,,11995,0,1,11995,11995
LaserDust,Span check box,101833 LGII/LD Span/Zero Switch box,101833,LGII/LD Span/Zero Switch box,,4370,0,1,4370,4370
LaserDust,Windows assembly,102539 Window assembly LaserDust MP (FS),102539,Window assembly LaserDust MP (FS),"price per piece. Fused Silica, Ø58 x 3.5mm",5750,0,1,5750,5750
LaserDust,Windows assembly,102540 Window assembly LaserDust LP (FS),102540,Window assembly LaserDust LP (FS),"price per piece. Fused Silica, Ø93 x 5mm",7015,0,1,7015,7015
LaserDust,Windows assembly,102541 Window assembly LaserDust XLP (FS),102541,Window assembly LaserDust XLP (FS),"price per piece. Fused Silica, Ø145 x 6mm",17365,0,1,17365,17365
LaserDust,Networks cables,101226 Network Cable 5m Straight RJ45‐Variosub,101226,Network Cable 5m Straight RJ45‐Variosub,,1035,0,1,1035,1035
LaserDust,Networks cables,101221 Network Cable 15m Straight RJ45‐Variosub,101221,Network Cable 15m Straight RJ45‐Variosub,,1265,0,1,1265,1265
LaserDust,Networks cables,101222 Network Cable 25m Straight RJ45‐Variosub,101222,Network Cable 25m Straight RJ45‐Variosub,,1495,0,1,1495,1495
LaserDust,Networks cables,101225 Network Cable 50m Straight RJ45‐Variosub,101225,Network Cable 50m Straight RJ45‐Variosub,,2645,0,1,2645,2645
LaserDust,Networks cables,107258 Network Cable 100m Straight RJ45‐Variosub,107258,Network Cable 100m Straight RJ45‐Variosub,,3795,0,1,3795,3795
LaserDust,Networks cables,106185 Network Cable 5m Crossed RJ45‐Variosub,106185,Network Cable 5m Crossed RJ45‐Variosub,,1035,0,1,1035,1035
LaserDust,Networks cables,101229 Network Cable 15m Crossed RJ45‐Variosub,101229,Network Cable 15m Crossed RJ45‐Variosub,,1265,0,1,1265,1265
LaserDust,Networks cables,101231 Network Cable 25m Crossed RJ45‐Variosub,101231,Network Cable 25m Crossed RJ45‐Variosub,,1610,0,1,1610,1610
LaserDust,Networks cables,101234 Network Cable 50m Crossed RJ45‐Variosub,101234,Network Cable 50m Crossed RJ45‐Variosub,,2875,0,1,2875,2875
LaserDust,Networks cables,106183 Network Cable 100m Crossed RJ45‐Variosub,106183,Network Cable 100m Crossed RJ45‐Variosub,,3910,0,1,3910,3910
LaserDust,Spare part kit,103164 Spare part kit LD MP,103164,Spare part kit LD MP,Std flange‐ and O‐ring material,11615,0,1,11615,11615
LaserDust,Spare part kit,103165 Spare part kit LD LP,103165,Spare part kit LD LP,Std flange‐ and O‐ring material,11615,0,1,11615,11615
LaserDust,Spare part kit,103166 Spare part kit LD XLP,103166,Spare part kit LD XLP,"Std flange‐ & O‐ring material, no RU window",9430,0,1,9430,9430
LaserDust,Spare part kit,102541 Window assy RU LD XLP,102541,Window assy RU LD XLP,,17365,0,1,17365,17365
Service,Service Costs,100230 Service in-house,100230,Service in-house,Per hour,1870,0,1,1870,1870
Service,Service Costs,106922 Troubleshooting fee,106922,Troubleshooting fee,If no repair (2 hours),3740,0,1,3740,3740
Service,Service Costs,108814 Handling fee Service,108814,Handling fee Service,Logistic handling,1100,0,1,1100,1100
Service,Service Costs,113285 Initial remote support fee,113285,Initial remote support fee,For site setup and initial diagnosis (Max 2 hours),3740,0,1,3740,3740
Service,Service Costs,113284 Ongoing remote support fee,113284,Ongoing remote support fee,Follow-up problem analysis & solution (per additional hour),1870,0,1,1870,1870
Service,Service Costs,107713 Priority fee,107713,Priority fee,"Prioritized repair (min cost 3,400NOK) +additional 20%",0,0,1,0,0
Service,Service Costs,107710 Administration fee,107710,Administration fee,10% of travel & accomodation cost,0,0,1,0,0
Service,Service Costs,107708 Travel time (per day),107708,Travel time (per day),(8 hr day),11440,0,1,11440,11440
Service,Service Costs,113282 Travel time (per hour),113282,Travel time (per hour),,1430,0,1,1430,1430
Service,Service Costs,107709 On-site daily rate,107709,On-site daily rate,"Commissioning, installation, repairs",15290,0,1,15290,15290
Service,Service Costs,107712 On-site hourly rate,107712,On-site hourly rate,"Commissioning, installation, repairs",2090,0,1,2090,2090
Service,Training,107715 Training course (on-site),107715,Training course (on-site),Per day,15290,0,1,15290,15290
Service,FAT,107714 FAT - End user attended or digital FAT Package,107714,FAT - End user attended or digital FAT Package,"Inc., set-up, 1-day customer witness test and standard test scheme & documentation. Max 2ea. analyzers or 1ea. IQ2 analyzer",35000,0,1,35000,35000
Service,FAT,113286 FAT - Additional day,113286,FAT - Additional day,"Customer attended or digital FAT, standard test scheme) Max. 2ea. analyzers or 1ea. IQ2 analyzer",22000,0,1,22000,22000
Service,Calibration,101757 Calibration O2,101757,Calibration O2,Including certificate,8360,0,1,8360,8360
Service,Calibration,107913 Calibration check (O2),107913,Calibration check (O2),No certificate,1430,0,1,1430,1430
Service,Calibration,"107916 Calibration (HF, H2O)",107916,"Calibration (HF, H2O)",Including certificate,14190,0,1,14190,14190
Service,Calibration,"107915 Calibration check HF, H2O",107915,"Calibration check HF, H2O",No certificate,7040,0,1,7040,7040
Service,Calibration,101783 Calibration (other gases),101783,Calibration (other gases),Including certificate,11440,0,1,11440,11440
Service,Calibration,107914 Calibration check (other gases),107914,Calibration check (other gases),No certificate,4070,0,1,4070,4070
Service,Calibration,107917 Calibration background gas,107917,Calibration background gas,Per gas,2750,0,1,2750,2750
Service,Calibration,107911 Calibration certificate,107911,Calibration certificate,,7480,0,1,7480,7480
Service,Misc. Parts,101786 Misc.,101786,Misc.,,575,0,1,575,575
Service,Misc. Parts,106891 Misc. Electronic parts,106891,Misc. Electronic parts,,805,0,1,805,805
Service,Misc. Parts,106892 Misc. Mechanical parts,106892,Misc. Mechanical parts,,805,0,1,805,805
Service,Replacement,101767 Replace laser O2,101767,Replace laser O2,In-house repair,53590,0,1,53590,53590
Service,Replacement,107919 Replace laser (1200-2000nm),107919,Replace laser (1200-2000nm),In-house repair,66930,0,1,66930,66930
Service,Replacement,107920 Replace laser (2000-2500nm),107920,Replace laser (2000-2500nm),In-house repair,109825,0,1,109825,109825
Service,Replacement,113283 Replace laser Q (ICL),113283,Replace laser Q (ICL),In-House repair,135700,0,1,135700,135700
Service,Replacement,101781 Replace laser Laser Dust,101781,Replace laser Laser Dust,In-house repair,45310,0,1,45310,45310
Service,O-ring Kit,100226 Window O-ring kit LGII SP/LD-MP (NBR70) ,100226,Window O-ring kit LGII SP/LD-MP (NBR70) ,,230,0,1,230,230
Service,O-ring Kit,102580 Window O-ring kit LGII SP/LD-MP (Viton) ,102580,Window O-ring kit LGII SP/LD-MP (Viton) ,,345,0,1,345,345
Service,O-ring Kit,100348 Window O-ring kit LGII OP/LD-LP (NBR70) ,100348,Window O-ring kit LGII OP/LD-LP (NBR70) ,,230,0,1,230,230
Service,O-ring Kit,102365 Window O-ring kit LaserDust XLP (NBR70) ,102365,Window O-ring kit LaserDust XLP (NBR70) ,,345,0,1,345,345
Service,O-ring Kit,102579 Window O-ring kit LGII OP/LD-LP (Viton),102579,Window O-ring kit LGII OP/LD-LP (Viton),,920,0,1,920,920
Service,Isolation flange,"100567 Assembly isolation window (Ø58x3,5 Fused Silica) ",100567,"Assembly isolation window (Ø58x3,5 Fused Silica) ","for Isolation Flange 100585 ONLY, SS316",7935,0,1,7935,7935
Service,Isolation flange,106863 Graphite gasket w/steel core DN50/PN16 ,106863,Graphite gasket w/steel core DN50/PN16 ,165 x 68 x 1.5 mm,690,0,1,690,690
Service,Isolation flange,"106864 Graphite gasket w/steel core ANSI2""/150",106864,"Graphite gasket w/steel core ANSI2""/150",152.4 x 68 x 1.5 mm,690,0,1,690,690
Service,ETHERNET,108157 SNAP mod. w/ Ethernet & Modbus-TCP Spare part kit ,108157,SNAP mod. w/ Ethernet & Modbus-TCP Spare part kit ,"LaserGas II Stack, STD/ATEX/CSA suitable",7475,0,1,7475,7475
Service,ETHERNET,"108194 SNAP mod. w/ Ethernet & Modbus-TCP, Spare part kit ",108194,"SNAP mod. w/ Ethernet & Modbus-TCP, Spare part kit ","LaserGas II Multi Pass (MP),STD/ATEX/CSA",7475,0,1,7475,7475
Service,ETHERNET,102969 Ethernet / Modbus-TCP Board Spare Part Kit LD,102969,Ethernet / Modbus-TCP Board Spare Part Kit LD,"LaserDust, STD/ATEX suitable",7475,0,1,7475,7475
Service,MISC,105800 TU/RU Window Adapter Ring  ,105800,TU/RU Window Adapter Ring  ,1 piece incl O-ring,1035,0,1,1035,1035
Service,MISC,"106115 Thread ring, 2"" calibration cell LaserGas II, Al ",106115,"Thread ring, 2"" calibration cell LaserGas II, Al "," 1 piece, Incl set screws",805,0,1,805,805
Service,MISC,"101663 Thread ring, 2"" calibration cell LaserGas II, AISI 316L  ",101663,"Thread ring, 2"" calibration cell LaserGas II, AISI 316L  ","1 piece, Incl set screws",2645,0,1,2645,2645
Service,MISC,"100134 Diffusor element, LaserGas II flanges  ",100134,"Diffusor element, LaserGas II flanges  ","1 piece (used on flange/purge unit, total 2 needed)",230,0,1,230,230
Service,MISC,"103658 Circlip ring, outer, A60, DIN471, AISI304  ",103658,"Circlip ring, outer, A60, DIN471, AISI304  ","1 piece (used on instrument and flange/purge unit, total 4 needed)",230,0,1,230,230
Service,MISC,"106827 Window Adapter Ring, AL, LD-LP",106827,"Window Adapter Ring, AL, LD-LP",,1035,0,1,1035,1035
Service,MISC,"100139 Casing Nut, LaserGas II  ",100139,"Casing Nut, LaserGas II  ",SS316,1495,0,1,1495,1495
Service,MISC,"100417 Casing Nut, extended version, LaserGas ",100417,"Casing Nut, extended version, LaserGas ", SS316 (for high pressure windows),2070,0,1,2070,2070
Service,MISC,"100253 Casing Nut 4"", LaserDust LP  ",100253,"Casing Nut 4"", LaserDust LP  ",Aluminium version,1495,0,1,1495,1495
Service,MISC,"101436 Nut, LaserDust XLP  ",101436,"Nut, LaserDust XLP  ",Aluminium version,2070,0,1,2070,2070
Service,MISC,"101353 Lid for purging Unit 2""LG 2 with tightening Nut ",101353,"Lid for purging Unit 2""LG 2 with tightening Nut ", Aluminium version,1495,0,1,1495,1495
Service,MISC,"101354 Lid for purging Unit 2"" LG 2 w/ tightening Nut, SS316  ",101354,"Lid for purging Unit 2"" LG 2 w/ tightening Nut, SS316  ",Stainless steel version,2300,0,1,2300,2300
Service,MISC,"100965 RS-232 cable, LaserGas II ",100965,"RS-232 cable, LaserGas II ", With Variosub connector.,1380,0,1,1380,1380
Service,MISC,"103725 Cable Kit, 9-PIN D-SUB, FM-M-FM  ",103725,"Cable Kit, 9-PIN D-SUB, FM-M-FM  ",Incl 9-Pin gender changer,230,0,1,230,230
Service,MISC,"105216 USB TO SERIAL CABLE: U-224, USB TO SERIAL CABLE BL",105216,"USB TO SERIAL CABLE: U-224, USB TO SERIAL CABLE BL",,1610,0,1,1610,1610
Service,MISC,105981 Phoenix AUX connector kit  ,105981,Phoenix AUX connector kit  ,Male DSUB connector included,1150,0,1,1150,1150
Service,MISC,104107 DSUB connector female 15 pin.  For Phoenix connector,104107,DSUB connector female 15 pin.  For Phoenix connector,For Phoenix connector,575,0,1,575,575
Service,"EPROM/ CPU, Smart core","108661 LaserGas II, SmartCore kit  ",108661,"LaserGas II, SmartCore kit  ",Compl. w/CPU & EPROM,5980,0,1,5980,5980
Service,"EPROM/ CPU, Smart core","108662 LaserDust, SmartCore kit  ",108662,"LaserDust, SmartCore kit  ",Compl. w/CPU & EPROM,5980,0,1,5980,5980
Service,"EPROM/ CPU, Smart core",105895 Programmed EPROM Gas,105895,Programmed EPROM Gas,,1265,0,1,1265,1265
Service,"EPROM/ CPU, Smart core","103874 CPU, Smart Core, SC-Z1D, Part# 101-0081  ",103874,"CPU, Smart Core, SC-Z1D, Part# 101-0081  ","CPU, Smart Core for LaserGas II, NO EPROM",4830,0,1,4830,4830
Service,LaserGas III Portable parts,105168 Filter for Portable HF analyzer,105168,Filter for Portable HF analyzer,Type DIF-BK-20T w/ PTFE-Element 20µ.,690,0,1,690,690
Service,LaserGas III Portable parts,105109 Battery charger for LG3 HF Portabel Monitor,105109,Battery charger for LG3 HF Portabel Monitor,,2530,0,1,2530,2530
Service,MP parts,111493 Rear mirror LaserGas II MP,111493,Rear mirror LaserGas II MP,All gases except H2S,8855,0,1,8855,8855
Service,MP parts,111492 Front mirror LaserGas II MP,111492,Front mirror LaserGas II MP,All gases except H2S,9430,0,1,9430,9430
Service,MP parts,103144 Rear mirror LaserGas II MP H2S,103144,Rear mirror LaserGas II MP H2S,For H2S only,5750,0,1,5750,5750
Service,MP parts,103143 Front mirror LaserGas II MP H2S,103143,Front mirror LaserGas II MP H2S,For H2S only,8050,0,1,8050,8050
Service,Electronics,110494 Mainboard rev G2.1 LaserGas II,110494,Mainboard rev G2.1 LaserGas II,,42665,0,1,42665,42665
Service,Electronics,110419 Receiver board B2.0 LaserGas II,110419,Receiver board B2.0 LaserGas II,,11270,0,1,11270,11270
Service,Electronics,111201 Mainboard LaserGas II/MP/OP,111201,Mainboard LaserGas II/MP/OP,,42665,0,1,42665,42665
Service,Electronics,"103415 Connection board w/ ISSC con., Receiver, LaserGas",103415,"Connection board w/ ISSC con., Receiver, LaserGas",,2300,0,1,2300,2300
Service,Electronics,"103416 Connection board w/ ISSC con., Ex, Receiver, Laser",103416,"Connection board w/ ISSC con., Ex, Receiver, Laser",,2300,0,1,2300,2300
Service,Electronics,"101148 Ex-Board assembly, LaserGas II",101148,"Ex-Board assembly, LaserGas II",,3795,0,1,3795,3795
Service,Electronics,100961 Display Unit assembly,100961,Display Unit assembly,,1725,0,1,1725,1725
Service,Electronics,"104089 FJ-25-D-03-4, Flexcable jumper 3 inch",104089,"FJ-25-D-03-4, Flexcable jumper 3 inch",Flat cable mainboard - laser ,230,0,1,230,230
Service,Electronics,"104267 FJ-25-D-05-4, Flexcable jumper 5 inch",104267,"FJ-25-D-05-4, Flexcable jumper 5 inch",Flat cable mainboard - laser ,230,0,1,230,230
Service,Electronics,"104278 FJ-25-D-07-4, Flexcable jumper 7 inch",104278,"FJ-25-D-07-4, Flexcable jumper 7 inch",Flat cable mainboard - laser ,345,0,1,345,345
Service,Electronics,"104268 FJ-25-D-16-4, Flexcable jumper 16 inch",104268,"FJ-25-D-16-4, Flexcable jumper 16 inch",Flat cable mainboard - laser ,460,0,1,460,460
Service,Electronics,110804 LaserGas Q QCL Mainboard,110804,LaserGas Q QCL Mainboard,,42665,0,1,42665,42665
Service,Electronics,110796 LaserGas Q QCL Receiver board,110796,LaserGas Q QCL Receiver board,,11270,0,1,11270,11270
Service,Electronics,107768 LaserGas Q QCL/ICL TEC driver board,107768,LaserGas Q QCL/ICL TEC driver board,,7130,0,1,7130,7130
Service,Electronics,111765 LaserGas Q ICL Mainboard,111765,LaserGas Q ICL Mainboard,,42665,0,1,42665,42665
