Platform,Gas,Analyzer,Part No.,Description,Information,ListPrice
LaserGas III Single Path,CO,"112302 Lasergas III CO+CH4 SP Ex-d (LT) Ultra non SIL, ATEX/IECEx",112302,"Lasergas III CO+CH4 SP Ex-d (LT) Ultra non SIL, ATEX/IECEx","For temperature <500°C, ATEX/IECEx Zone 1 & 2",360800
LaserGas III Single Path,CO,"112303 LaserGas III CO+CH4 SP Ex-d HT Ultra non SIL Std.Amb.T, MK2",112303,"LaserGas III CO+CH4 SP Ex-d HT Ultra non SIL Std.Amb.T, MK2","For temperature >500°C, ATEX/IECEx Zone 1 & 2",379500
LaserGas III Single Path,CO,110817 LaserGas III COppm SP Ex-d non-SIL CSA Class I Div 2,110817,LaserGas III COppm SP Ex-d non-SIL CSA Class I Div 2,"CO ppm, For temperature T<500 °C, CSA Class I/Div 2",301400
LaserGas III Single Path,CO,110818 LaserGas III COppm+CH4 SP Ex-d non-SIL CSA Class I Div 2,110818,LaserGas III COppm+CH4 SP Ex-d non-SIL CSA Class I Div 2,"CO ppm, For temperature T<500 °C, CSA Class I/Div 2",324500
LaserGas III Single Path,CO,110819 LaserGas III COppm SP Ex-d HT non-SIL CSA Class I Div 2,110819,LaserGas III COppm SP Ex-d HT non-SIL CSA Class I Div 2,"CO ppm, High Temp appl T>500 °C, CSA Class I/Div 2",321200
LaserGas III Single Path,CO,110820 LaserGas III COppm+CH4 SP Ex-d HT non-SIL CSA Class I Div 2,110820,LaserGas III COppm+CH4 SP Ex-d HT non-SIL CSA Class I Div 2,"CO ppm, High Temp appl T>500 °C, CSA Class I/Div 2",341000
LaserGas III Single Path,CO,113069 LaserGas III COppm SP Ex-d SIL CSA Class 1 Div 2,113069,LaserGas III COppm SP Ex-d SIL CSA Class 1 Div 2,"CO ppm, For temperature <500°C, CSA Class 1/Div 2",343200
LaserGas III Single Path,CO,112905 LaserGas III COppm + CH4 SP Ex-d SIL CSA Class 1 Div 2,112905,LaserGas III COppm + CH4 SP Ex-d SIL CSA Class 1 Div 2,"CO ppm, For temperature <500°C, Class 1/Div 2",367400
LaserGas III Single Path,CO,113070 LaserGas III COppm SP Ex-d HT SIL CSA Class 1 Div 2,113070,LaserGas III COppm SP Ex-d HT SIL CSA Class 1 Div 2,"CO ppm, For temperature >500°C, CSDA Class 1/Div 2",361900
LaserGas III Single Path,CO,112900 LaserGas III COppm + CH4 SP Ex-d HT SIL CSA Class 1 Div 2,112900,LaserGas III COppm + CH4 SP Ex-d HT SIL CSA Class 1 Div 2,"CO ppm, For temperature >500°C, CSA Class 1/Div 2",385000
LaserGas III Single Path,CO,"113410 LaserGas III CO SP Ex-d Ultra non SIL, CSA Class 1 Div 2",113410,"LaserGas III CO SP Ex-d Ultra non SIL, CSA Class 1 Div 2","CO ppm, For temperature <500°C, CSA Class 1/Div 2",338500
LaserGas III Single Path,CO,"113411 LaserGas III CO SP Ex-d HT Ultra non SIL, CSA Class 1 Div 2",113411,"LaserGas III CO SP Ex-d HT Ultra non SIL, CSA Class 1 Div 2","CO ppm, For temperature >500°C, CSA Class 1/Div 2",357200
LaserGas III Single Path,CO,"112880 LaserGas III CO + CH4 SP Ex-d Ultra non SIL, CSA Class 1 Div 2",112880,"LaserGas III CO + CH4 SP Ex-d Ultra non SIL, CSA Class 1 Div 2","CO ppm, For temperature <500°C, CSA Class 1/Div 2",363800
LaserGas III Single Path,CO,"113420 LaserGas III CO + CH4 SP Ex-d HT Ultra non SIL, CSA Class 1 Div 2",113420,"LaserGas III CO + CH4 SP Ex-d HT Ultra non SIL, CSA Class 1 Div 2","CO ppm, For temperature >500°C, CSA Class 1/Div 2",382500
LaserGas III Single Path,CO2,113062 LaserGas III CO2ppm SP Ex-d non-SIL ATEX/IECEx Std Amb. Temp,113062,LaserGas III CO2ppm SP Ex-d non-SIL ATEX/IECEx Std Amb. Temp,"ATEX/IECEx Zone 1 & 2, std 4m cable incl connection box",306900
LaserGas III Single Path,CO2,113063 LaserGas III CO2ppm SP Ex-d SIL ATEX/IECEx Std Amb. Temp,113063,LaserGas III CO2ppm SP Ex-d SIL ATEX/IECEx Std Amb. Temp,"ATEX/IECEx Zone 1 & 2, std 4m cable incl connection box",348700
LaserGas III Single Path,CO2,113260 LaserGas III CO2 SP Ex-d Ultra non-SIL ATEX/IECEx Std Amb. Temp,113260,LaserGas III CO2 SP Ex-d Ultra non-SIL ATEX/IECEx Std Amb. Temp,"ATEX/IECEx Zone 1 & 2, std 4m cable incl connection box",345400
LaserGas III Single Path,CO2,113600 LaserGas III CO2 SP Ex-d Ultra HT non-SIL ATEX/IECEx Std Amb. Temp,113600,LaserGas III CO2 SP Ex-d Ultra HT non-SIL ATEX/IECEx Std Amb. Temp,"ATEX/IECEx Zone 1 & 2, std 4m cable incl connection box",363000
LaserGas III Single Path,CO2,113064 LaserGas III CO2 SP Ex-d non-SIL CSA Class1 Div 2 Std Amb. Temp,113064,LaserGas III CO2 SP Ex-d non-SIL CSA Class1 Div 2 Std Amb. Temp,"CSA Class 1/Div 2, std 4m cable incl connection box",313500
LaserGas III Single Path,CO2,113065 LaserGas III CO2 SP Ex-d SIL ATEX/IECEx Std Amb. Temp,113065,LaserGas III CO2 SP Ex-d SIL ATEX/IECEx Std Amb. Temp,"CSA Class 1/Div 2, std 4m cable incl connection box",355300
LaserGas III Single Path,CO2,113757 LaserGas III CO2 SP Ex-d Ultra CSA Class I Div 2 Std Amb. Temp,113757,LaserGas III CO2 SP Ex-d Ultra CSA Class I Div 2 Std Amb. Temp,"CSA Class 1/Div 2, std 4m cable incl connection box",364100
LaserGas III Single Path,H2,113058 LaserGas III H2 SP Ex-d non-SIL ATEX/IECEx Std Amb. Temp,113058,LaserGas III H2 SP Ex-d non-SIL ATEX/IECEx Std Amb. Temp,"ATEX/IECEx Zone 1 & 2, std 4m cable incl connection box",381700
LaserGas III Single Path,H2,113059 LaserGas III H2 SP Ex-d SIL ATEX/IECEx Std Amb. Temp,113059,LaserGas III H2 SP Ex-d SIL ATEX/IECEx Std Amb. Temp,"ATEX/IECEx Zone 1 & 2, std 4m cable incl connection box",423500
LaserGas III Single Path,H2,113060 LaserGas III H2 SP Ex-d non-SIL CSA Class 1 Div 2 Std Amb. Temp,113060,LaserGas III H2 SP Ex-d non-SIL CSA Class 1 Div 2 Std Amb. Temp,"CSA Class1/Div 2, std 4m cable incl connection box",388300
LaserGas III Single Path,H2,113061 LaserGas III H2 SP Ex-d SIL CSA Class 1 Div 2 Std Amb. Temp,113061,LaserGas III H2 SP Ex-d SIL CSA Class 1 Div 2 Std Amb. Temp,"CSA Class 1/Div 2, std 4m cable incl connection box",431200
LaserGas III Single Path,H2S (COG),113270 LaserGas III H2S COG SP Ex-d Ultra non-SIL STD. Amb.T,113270,LaserGas III H2S COG SP Ex-d Ultra non-SIL STD. Amb.T,H2S COG SP Ex-d non-SIL STD. Amb.T ATEX E-xd,352000
LaserGas III Single Path,H2S (COG),113570 LaserGas III H2S+NH3 COG SP Ex-d Ultra non-SIL STD. Amb.T,113570,LaserGas III H2S+NH3 COG SP Ex-d Ultra non-SIL STD. Amb.T,H2S+NH3 COG SP Ex-d non-SIL STD. Amb.T Atex Ex-d,379500
LaserGas III Open Path,NH3,109440 LaserGas III NH3 OP Ex-d non-SIL ATEX/IECEx,109440,LaserGas III NH3 OP Ex-d non-SIL ATEX/IECEx,ATEX/IECEx Zone1&2,174240
LaserGas III Open Path,NH3,113073 LaserGas III NH3 OP Ex-d SIL ATEX/IECEx,113073,LaserGas III NH3 OP Ex-d SIL ATEX/IECEx,ATEX/IECEx Zone 1 & 2 Max. 500ppm*m,216590
LaserGas III Open Path,HF,"109200 LaserGas III HF OP Detector Ex-d non-SIL, ATEX/IECEx",109200,"LaserGas III HF OP Detector Ex-d non-SIL, ATEX/IECEx",ATEX/IECEx Zone1&2,174240
LaserGas III Open Path,HF,113072 LaserGas III HF OP Ex-d SIL ATEX/IECEx,113072,LaserGas III HF OP Ex-d SIL ATEX/IECEx,ATEX/IECEx Zone 1 & 2 Max. 500ppm*m,216590
LaserGas III Open Path,CO,108485 LaserGas III CO OP Ex-d non-SIL ATEX/IECEx,108485,LaserGas III CO OP Ex-d non-SIL ATEX/IECEx,ATEX/IECEx Zone1&2,174240
LaserGas III Open Path,CO,113074 LaserGas III CO OP Ex-d SIL ATEX/IECEx,113074,LaserGas III CO OP Ex-d SIL ATEX/IECEx,ATEX/IECEx Zone 1 & 2,216590
LaserGas III Open Path,CH4,113220 LaserGas III CH4 OP Ex-d non-SIL ATEX/IECEx,113220,LaserGas III CH4 OP Ex-d non-SIL ATEX/IECEx,ATEX/IECEx Zone 1 & 2,174240
LaserGas III Open Path,CH4,113079 LaserGas III CH4 OP Ex-d SIL ATEX/IECEx,113079,LaserGas III CH4 OP Ex-d SIL ATEX/IECEx,ATEX/IECEx Zone 1 & 2,216590
LaserGas III Open Path,H2S,111800 LaserGas III H2S OP Ex-d non-SIL ATEX/IECEx,111800,LaserGas III H2S OP Ex-d non-SIL ATEX/IECEx,ATEX/IECEx Zone1&2,174240
LaserGas III Open Path,H2S,113078 LaserGas III H2S OP Ex-d SIL ATEX/IECEx,113078,LaserGas III H2S OP Ex-d SIL ATEX/IECEx,ATEX/IECEx Zone 1 & 2,216590
LaserGas III Portable,HF,107655 LaserGas III HF Portable,107655,LaserGas III HF Portable,No approvals available,199100
LaserGas iQ2,X-stack,108931 LaserGas iQ2 X-stack O2 & CO non ATEX/IECEx/CSA,108931,LaserGas iQ2 X-stack O2 & CO non ATEX/IECEx/CSA,non ATEX/IECEx/CSA,529100
LaserGas iQ2,X-stack,108930 LaserGas iQ2 X-stack O2 + CO ATEX/IECEx Ex-p,108930,LaserGas iQ2 X-stack O2 + CO ATEX/IECEx Ex-p,ATEX/IECEx Zone 1&2,543400
LaserGas iQ2,X-stack,108840 LaserGas iQ2 X-stack O2 + CO CSA GP,108840,LaserGas iQ2 X-stack O2 + CO CSA GP,General purpose non-hazloc,529100
LaserGas iQ2,X-stack,108800 LaserGas iQ2 X-stack O2 + CO CSA Class I Div 2,108800,LaserGas iQ2 X-stack O2 + CO CSA Class I Div 2,Class I/Div 2,546700
LaserGas iQ2,Vulcan,108821 LaserGas iQ2 O2 & CO Vulcan non ATEX/IECEx/CSA,108821,LaserGas iQ2 O2 & CO Vulcan non ATEX/IECEx/CSA,"Probe is not Included, non ATEX/IECEx/CSA",529100
LaserGas iQ2,Vulcan,107897 LaserGas iQ2 Vulcan O2 & CO ATEX/IECEx Ex-p,107897,LaserGas iQ2 Vulcan O2 & CO ATEX/IECEx Ex-p,"Probe is not Included, ATEX/IECEx Zone 1 & 2",543400
LaserGas iQ2,Vulcan,108842 LaserGas iQ2 Vulcan O2 & CO CSA GP,108842,LaserGas iQ2 Vulcan O2 & CO CSA GP,"Probe is not Included, General purpose non-hazloc",529100
LaserGas iQ2,Vulcan,108906 LaserGas iQ2 Vulcan O2 & CO CSA CSA Class I Div 2,108906,LaserGas iQ2 Vulcan O2 & CO CSA CSA Class I Div 2,"Probe is not Included, Class I/Div2",546700
LaserGas iQ2,Vulcan,109751 Vulcan High Temp Probe w/ Flange DN80 PN10-16 compatible,109751,Vulcan High Temp Probe w/ Flange DN80 PN10-16 compatible,Only High Temperature probe. Tmax 850'C. No discount,173800
LaserGas iQ2,Vulcan,109752 Vulcan High Temp Probe w/ Flange DN100 PN10-16 compatible,109752,Vulcan High Temp Probe w/ Flange DN100 PN10-16 compatible,Only High Temperature probe. Tmax 850'C. No discount,173800
LaserGas iQ2,Vulcan,109753 Vulcan High Temp Probe w/ Flange DN150 PN6 compatible,109753,Vulcan High Temp Probe w/ Flange DN150 PN6 compatible,Only High Temperature probe. Tmax 850'C. No discount,173800
LaserGas iQ2,Vulcan,"109754 Vulcan High Temp Probe w/ Flange ANSI 3"" #150 compatible",109754,"Vulcan High Temp Probe w/ Flange ANSI 3"" #150 compatible",Only High Temperature probe. Tmax 850'C. No discount,173800
LaserGas iQ2,Vulcan,"109756 Vulcan High Temp Probe w/ Flange ANSI 4"" #150 compatibe",109756,"Vulcan High Temp Probe w/ Flange ANSI 4"" #150 compatibe",Only High Temperature probe. Tmax 850'C. No discount,173800
LaserGas Q,SO2,107600 LaserGas Q SO2 SP non ATEX/IECEx/CSA,107600,LaserGas Q SO2 SP non ATEX/IECEx/CSA,ICL,361900
LaserGas Q,SO2,109270 LaserGas Q SO2 SP ATEX/IECEx Ex-n,109270,LaserGas Q SO2 SP ATEX/IECEx Ex-n,"ICL, ATEX/IECEx Zone 2",376200
LaserGas Q,SO2,109340 LaserGas Q SO2 Tail gas SP non ATEX/IECEx/CSA,109340,LaserGas Q SO2 Tail gas SP non ATEX/IECEx/CSA,ICL Tail gas appl.,361900
LaserGas Q,SO2,109350 LaserGas Q SO2 Tail gas SP ATEX/IECEx Ex-n,109350,LaserGas Q SO2 Tail gas SP ATEX/IECEx Ex-n,ICL Tail gas appl. ATEX/IECEx Zone,376200
LaserGas Q,SO2,112986 LaserGas Q SO2 SP CSA GP,112986,LaserGas Q SO2 SP CSA GP,"ICL, CSA GP",361900
LaserGas Q,SO2,110660 LaserGas Q SO2 SP CSA Class I Div 2,110660,LaserGas Q SO2 SP CSA Class I Div 2,"ICL, CSA Class I Div 2",376200
LaserGas Q,SO2,112987 LaserGas Q SO2 Tail gas SP CSA GP,112987,LaserGas Q SO2 Tail gas SP CSA GP,ICL Tail gas appl. CSA GP,361900
LaserGas Q,SO2,110661 LaserGas Q SO2 Tail gas SP CSA Class I Div 2,110661,LaserGas Q SO2 Tail gas SP CSA Class I Div 2,ICL Tail gas appl. CSA Class I Div 2,376200
LaserGas Q,NO,109850 LaserGas Q NO SP non ATEX/IECEx/CSA,109850,LaserGas Q NO SP non ATEX/IECEx/CSA,ICL,361900
LaserGas Q,NO,110590 LaserGas Q NO SP ATEX/IECEx Ex-n,110590,LaserGas Q NO SP ATEX/IECEx Ex-n,"ICL, ATEX/IECEx Zone 2",376200
LaserGas Q,NO,112985 LaserGas Q NO SP CSA GP,112985,LaserGas Q NO SP CSA GP,"ICL, CSA GP",361900
LaserGas Q,NO,112975 LaserGas Q NO SP CSA Class I Div 2,112975,LaserGas Q NO SP CSA Class I Div 2,"ICL, CSA Class I Div 2",376200
LaserGas Q,NO2,108260 LaserGas Q NO2 SP non ATEX/IECEx/CSA,108260,LaserGas Q NO2 SP non ATEX/IECEx/CSA,ICL,361900
LaserGas Q,NO2,110446 LaserGas Q NO2 SP ATEX/IECEx Ex-n,110446,LaserGas Q NO2 SP ATEX/IECEx Ex-n,"ICL, ATEX/IECEx Zone 2",376200
LaserGas Q,NO2,112981 LaserGas Q NO2 SP CSA GP,112981,LaserGas Q NO2 SP CSA GP,"ICL, CSA GP",361900
LaserGas Q,NO2,112971 LaserGas Q NO2 SP CSA Class I Div 2,112971,LaserGas Q NO2 SP CSA Class I Div 2,"ICL, CSA Class I Div 2",376200
LaserGas Q,HBr,110400 LaserGas Q HBr SP non ATEX/IECEx/CSA,110400,LaserGas Q HBr SP non ATEX/IECEx/CSA,ICL,361900
LaserGas Q,HBr,110883 LaserGas Q HBr SP ATEX/IECEx,110883,LaserGas Q HBr SP ATEX/IECEx,"ICL, ATEX/IECEx Zone 2",376200
LaserGas Q,HBr,112983 LaserGas Q HBr SP CSA GP,112983,LaserGas Q HBr SP CSA GP,"ICL, CSA GP",361900
LaserGas Q,HBr,112973 LaserGas Q HBr SP CSA Class I Div 2,112973,LaserGas Q HBr SP CSA Class I Div 2,"ICL, CSA Class I Div 2",376200
LaserGas Q,CH2O,112780 LaserGas Q CH2O SP non ATEX/IECEx/CSA,112780,LaserGas Q CH2O SP non ATEX/IECEx/CSA,ICL,361900
LaserGas Q,CH2O,112775 LaserGas Q CH2O SP ATEX/IECEx,112775,LaserGas Q CH2O SP ATEX/IECEx,"ICL, ATEX/IECEx Zone 2",376200
LaserGas Q,CH2O,112982 LaserGas Q CH2O SP CSA GP,112982,LaserGas Q CH2O SP CSA GP,"ICL, CSA GP",361900
LaserGas Q,CH2O,112972 LaserGas Q CH2O SP CSA Class I Div 2,112972,LaserGas Q CH2O SP CSA Class I Div 2,"ICL, CSA Class I Div 2",376200
LaserDust,Dust,101109 LaserDust MP,101109,LaserDust MP,"Medium Path, OPL: 0.5-3 m",104610
LaserDust,Dust,107345 LaserDust MP ATEX/IECEx Ex-n,107345,LaserDust MP ATEX/IECEx Ex-n,"ATEX/IECEx Zone 2, Medium Path, OPL: 0.5-3 m,",118800
LaserDust,Dust,101108 LaserDust LP,101108,LaserDust LP,"Long Path, OPL: 3-6 m",133100
LaserDust,Dust,106890 LaserDust LP ATEX Ex-n,106890,LaserDust LP ATEX Ex-n,"ATEX/IECEx Zone 2, Long Path, OPL: 3-6 m",147400
LaserDust,Dust,101758 LaserDust XLP,101758,LaserDust XLP,"Extra Long Path, OPL: 6-10 m",229350
